filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,mem: at-a-glance HR (%),mem: at-a-glance FAR (%),mem: prolonged HR (%),data redundancy,message redundancy,illegible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7393_6_f4.png,Nature,S,Lines,none,1,1,y,2,n,n,53.26,18.45,78.95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_10_f4.png,Nature,S,Lines,none,2,3,n,3,n,n,44.83,3.88,61.11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_5_f2.png,Nature,S,Lines,none,1,1,y,1,n,n,32.94,25.26,73.68,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_5_f5.png,Nature,S,Area,none,1,1,y,1,n,n,29.35,2.97,55.56,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_8_f2.png,Nature,S,Points,none,2,1,y,1,n,n,48.42,6.93,94.44,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7394_8_f4.png,Nature,S,Points,none,1,1,y,1,n,n,60.87,27.45,63.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v484_n7395_11_f1.png,Nature,S,Maps,none,1,2,n,2,y,n,65.82,12.09,82.35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7397_14_f3.png,Nature,S,Table,none,1,1,y,1,n,n,42.05,34,72.22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7397_15_f1.png,Nature,S,Trees and Networks,none,2,3,n,1,n,n,45.35,8.25,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7397_6_f4.png,Nature,S,Lines,none,2,3,n,2,n,n,62.22,26.53,60,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v485_n7399_13_f4.png,Nature,S,Points,none,3,3,n,2,n,n,38.71,8.16,86.67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
